num_eval,fitness,test_fitness
1,0.1163376562375701,0.1178154431979655
2,0.0762822810417623,0.072077638629423
3,0.1359799687866187,0.1345822556559566
4,0.1610281268703496,0.1633407837225797
5,0.2499970383812737,0.2432695295393807
6,0.1579608511743944,0.1474479325362938
7,0.1681630217559962,0.155892113413615
8,0.0758039358209485,0.0729793292750672
9,0.1163376562375701,0.1178154431979655
10,0.1059348582764423,0.1191365474939895
11,0.1725034196403562,0.1770560847605492
12,0.0601369483271715,0.0729499416857993
13,0.1092804105166939,0.1247954592458613
14,0.1092804105166939,0.1247954592458613
15,0.1724272387499044,0.1838773197332456
16,0.1092804105166939,0.1247954592458613
17,0.1782631767705792,0.1800475720415316
18,0.1489822342475402,0.1642810231521667
19,0.1437249555684326,0.1518518610814844
20,0.1359393021464912,0.1296750813230692
21,0.1135675215735823,0.1164094672056259
22,0.0974813761222665,0.1102227351940416
23,0.1610399058486014,0.1679909644727891
24,0.1059348582764423,0.1191365474939895
25,0.0859132059348862,0.0915052205441625
26,0.0762822810417623,0.072077638629423
27,0.1092804105166939,0.1247954592458613
28,0.0758039358209485,0.0729793292750672
29,0.1092804105166939,0.1247954592458613
30,0.0758039358209485,0.0729793292750672
31,0.0601369483271715,0.0729499416857993
32,0.1059348582764423,0.1191365474939895
33,0.0762019231168796,0.0733358289264305
34,0.1163376562375701,0.1178154431979655
35,0.1237885137733244,0.1172238478392125
36,0.0762019231168796,0.0733358289264305
37,0.0762019231168796,0.0733358289264305
38,0.1492571724038057,0.1501300229955204
39,0.0931931120341878,0.0994210746104509
40,0.0735871949556127,0.0859777526804532
41,0.0829262918022128,0.0772470186519473
42,0.0762019231168796,0.0733358289264305
43,0.0601369483271715,0.0729499416857993
44,0.0758039358209485,0.0729793292750672
45,0.0735871949556127,0.0859777526804532
46,0.0762019231168796,0.0733358289264305
47,0.0794732580704314,0.0929337437510792
48,0.0762822810417623,0.072077638629423
49,0.0758039358209485,0.0729793292750672
50,0.0757484642256825,0.073154291965808
51,0.0762019231168796,0.0733358289264305
52,0.0758039358209485,0.0729793292750672
53,0.0758039358209485,0.0729793292750672
54,0.0619339061924635,0.0822217484229947
55,0.0601369483271715,0.0729499416857993
56,0.2386506640241679,0.2323205901058738
57,0.0762019231168796,0.0733358289264305
58,0.0619339061924635,0.0822217484229947
59,0.118758953185651,0.1193534999201903
60,0.1197557900660476,0.1323582251776997
61,0.0619339061924635,0.0822217484229947
62,0.0735871949556127,0.0859777526804532
63,0.2111818452211341,0.2313509915032867
64,0.1478995824315507,0.1646249735162838
65,0.0601369483271715,0.0729499416857993
66,0.0735871949556127,0.0859777526804532
67,0.0601369483271715,0.0729499416857993
68,0.0601369483271715,0.0729499416857993
69,0.0601369483271715,0.0729499416857993
70,0.1255645023728809,0.1392586199840467
71,0.1219028025783435,0.1318833170782797
72,0.0827636955943627,0.0873202967802907
73,0.0735871949556127,0.0859777526804532
74,0.0863458075142648,0.0837955271725034
